#Top: top   Floorplan: design_1   Part: xc7a200tsbg484-1
#Generated by: travis   on: Tue Feb 20 20:43:27 2018
#Build: Vivado v2017.3   by: xbuild   on: Wed Oct  4 19:58:07 MDT 2017
#Package Version: FINAL 2012-06-12
#Package Pin Delay Version: VERS. 2.0 2012-06-12

IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
35,P6,IOB_X1Y152,IO_L24P_T3_35,57.949,58.532,,,ddram_a[14],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
35,P2,IOB_X1Y156,IO_L22P_T3_35,68.510,69.198,,,ddram_a[13],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
35,N4,IOB_X1Y162,IO_L19P_T3_35,86.581,87.451,,,ddram_a[12],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
35,N5,IOB_X1Y151,IO_L24N_T3_35,59.574,60.173,,,ddram_a[11],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
35,L5,IOB_X1Y164,IO_L18P_T2_35,42.651,43.080,,,ddram_a[10],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
35,R1,IOB_X1Y160,IO_L20P_T3_35,82.712,83.543,,,ddram_a[9],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
35,M6,IOB_X1Y154,IO_L23P_T3_35,72.398,73.126,,,ddram_a[8],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
35,N2,IOB_X1Y155,IO_L22N_T3_35,60.757,61.367,,,ddram_a[7],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
35,N3,IOB_X1Y161,IO_L19N_T3_VREF_35,76.733,77.504,,,ddram_a[6],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
35,P1,IOB_X1Y159,IO_L20N_T3_35,74.632,75.382,,,ddram_a[5],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
35,L6,IOB_X1Y150,IO_25_35,34.056,34.398,,,ddram_a[4],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
